fit_condition,file_type,parameter_type,spine_start,shrinkage&resize_factors,double_spine_area,RM,RA,CM,error
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,4055.0,120.0,3.8745777174989677,0.6137883780687374
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",False,3607.0,150.0,4.355811656351071,0.6185342979295758
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",False,9712.0,1.0,1.6177319444458726,0.4839042373213795
const_param,z_correct.swc,min_CM,20,"[1.0, 1.0]",False,9712.0,1.0,1.6177319444458726,0.4839042373213795
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",False,9712.0,1.0,1.6177319444458726,0.4839042373213795
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.0]",False,9289.9,5.5,1.6926213007626252,0.5036042640694246
const_param,z_correct.swc,RA=120,20,"[1.1, 1.1]",False,5073.0,120.0,3.097065374425057,0.6123297022241563
const_param,z_correct.swc,RA=150,20,"[1.1, 1.1]",False,4518.0,150.0,3.4775149722129957,0.6158670587849058
const_param,z_correct.swc,RA_min_error,20,"[1.1, 1.1]",False,11561.0,1.0,1.3590011802143684,0.48343266942411794
const_param,z_correct.swc,min_CM,20,"[1.1, 1.1]",False,11561.0,1.0,1.3590011802143684,0.48343266942411794
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.1]",False,11561.0,1.0,1.3590011802143684,0.48343266942411794
const_param,z_correct.swc,mean_best_10,20,"[1.1, 1.1]",False,11103.3,5.5,1.4159774759435435,0.5015247515574852
const_param,z_correct.swc,RA=120,20,"[1.1, 1.0]",False,4245.0,120.0,3.7011572778464816,0.6157421537847179
const_param,z_correct.swc,RA=150,20,"[1.1, 1.0]",False,3770.0,150.0,4.167483460068518,0.621225375572975
const_param,z_correct.swc,RA_min_error,20,"[1.1, 1.0]",False,10672.0,1.0,1.4722088310024657,0.4842810690671437
const_param,z_correct.swc,min_CM,20,"[1.1, 1.0]",False,10672.0,1.0,1.4722088310024657,0.4842810690671437
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.0]",False,10672.0,1.0,1.4722088310024657,0.4842810690671437
const_param,z_correct.swc,mean_best_10,20,"[1.1, 1.0]",False,10163.9,5.5,1.5473353539455483,0.505756817954995
