fit_condition,file_type,parameter_type,spine_start,shrinkage&resize_factors,double_spine_area,RM,RA,CM,error
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",True,12075.0,120.0,1.6712992515696148,0.03527655310326038
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",True,11610.0,150.0,1.7382375936867442,0.038704057627189356
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",True,11916.0,130.0,1.693600072398716,0.03366331213229187
const_param,z_correct.swc,min_CM,20,"[1.0, 1.0]",True,14310.0,1.0,1.4102682363873584,0.17844538992336795
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",True,10329.0,244.0,1.9538133858750217,0.10169011687744436
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.0]",True,11908.5,130.5,1.694690867366565,0.03382666364319266
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,10460.0,120.0,1.9293440212909272,0.034016832013512424
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",False,10053.0,150.0,2.0074543382774395,0.038664520709153
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",False,10348.0,128.0,1.9502259820934575,0.03268733202804304
const_param,z_correct.swc,min_CM,20,"[1.0, 1.0]",False,12412.0,1.0,1.62592156483267,0.17839008000180737
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",False,8935.0,244.0,2.258638887823514,0.10127853153862237
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.0]",False,10327.8,129.5,1.954069009116716,0.03289570464927077
const_param,z_correct.swc,RA=120,20,"[1.0, 1.2]",False,12858.0,120.0,1.5695239121716518,0.058993249419108384
const_param,z_correct.swc,RA=150,20,"[1.0, 1.2]",False,12492.0,150.0,1.615509002778026,0.0412101522544965
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.2]",False,12121.0,182.0,1.6649565599128042,0.03249527020648171
const_param,z_correct.swc,min_CM,20,"[1.0, 1.2]",False,14522.0,1.0,1.3896803789218495,0.1790130546128922
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.2]",False,10907.0,300.0,1.8502739949301457,0.07660586600331006
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.2]",False,12088.1,185.0,1.669535215581125,0.032796386149288585
const_param,morphology.swc,RA=120,20,"[1.0, 1.0]",False,9494.0,120.0,2.1256518288079946,0.048041410355615634
const_param,morphology.swc,RA=150,20,"[1.0, 1.0]",False,8991.0,150.0,2.244571066922823,0.06290821520052987
const_param,morphology.swc,RA_min_error,20,"[1.0, 1.0]",False,16391.0,9.0,1.2312206981089073,0.034507078624298346
const_param,morphology.swc,min_CM,20,"[1.0, 1.0]",False,19702.0,1.0,1.0243091291596336,0.14734547558630784
const_param,morphology.swc,RA_best_fit,20,"[1.0, 1.0]",False,8163.0,212.0,2.4722453096536934,0.10070694056950738
const_param,morphology.swc,mean_best_10,20,"[1.0, 1.0]",False,13860.3,39.9,1.5329176595909433,0.03872149614316807
const_param,morphology.swc,RA=120,20,"[1.1, 1.1]",False,11576.0,120.0,1.7433429909038614,0.04466022851937838
const_param,morphology.swc,RA=150,20,"[1.1, 1.1]",False,10981.0,150.0,1.8378051600676715,0.055492538515574674
const_param,morphology.swc,RA_min_error,20,"[1.1, 1.1]",False,19478.0,10.0,1.0360888419089793,0.034768762026412194
const_param,morphology.swc,min_CM,20,"[1.1, 1.1]",False,23473.0,1.0,0.8597511380182805,0.15042659466712913
const_param,morphology.swc,RA_best_fit,20,"[1.1, 1.1]",False,9724.0,234.0,2.0753741734577438,0.10099719409104654
const_param,morphology.swc,mean_best_10,20,"[1.1, 1.1]",False,16507.1,43.5,1.285471814120675,0.03857474846804411
const_param,morphology.swc,RA=120,20,"[1.0, 1.2]",False,12009.0,120.0,1.680484508510542,0.04083043098954554
const_param,morphology.swc,RA=150,20,"[1.0, 1.2]",False,11433.0,150.0,1.7651481205897928,0.04348991208193032
const_param,morphology.swc,RA_min_error,20,"[1.0, 1.2]",False,19047.0,13.0,1.0595337041372972,0.035031027036752
const_param,morphology.swc,min_CM,20,"[1.0, 1.2]",False,23037.0,1.0,0.8760228529193514,0.15732056673523148
const_param,morphology.swc,RA_best_fit,20,"[1.0, 1.2]",False,9559.0,300.0,2.111197663218234,0.09852373916722888
const_param,morphology.swc,mean_best_10,20,"[1.0, 1.2]",False,17560.5,35.1,1.1893909901630824,0.03797574953944185
