fit_condition,file_type,parameter_type,spine_start,shrinkage&resize_factors,double_spine_area,RM,RA,CM,error,same_strange,weight_AMPA,weight_NMDA,exp2syn_tau1,exp2syn_tau2,NMDA_tau_r_NMDA,NMDA_tau_d_NMDA,before_shrink
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",True,11060.0,120.0,1.890617994670131,0.2610288635085289,True,0.004633723381841441,0.00016328482670227516,0.2535098757581325,1.233122571768474,14.388199215378199,79.63148166111645,after
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",True,12889.0,59.0,1.6223318349795677,0.1013861111530081,True,0.002432024048313078,0.0001302167513525432,0.2946550094630665,1.7356181872351866,14.845825623298179,85.7854567133206,after
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",True,10245.0,150.0,2.041018547686837,0.3301831069282033,True,0.007321860693264874,0.00015748678831007935,0.22950645443087883,1.0019400097228546,14.979251911408763,89.94526976021156,after
const_param,z_correct.swc,RA=120,20,"[1.1, 1.0]",False,11821.0,120.0,1.7689057627148,0.2885102076220926,True,0.005354208435379162,0.00016360950217323043,0.24005368802188803,1.1497989291037405,14.999913566165997,88.94354660396526,after
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.0]",False,14184.0,54.0,1.4742128469438556,0.1023581042674666,True,0.00230313704401084,0.00013937733368138392,0.37599199971320546,1.6983639827066166,14.991938689311112,79.10870939166077,after
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,11060.0,120.0,1.890617994670131,0.2610288635085289,True,0.004633723381841441,0.00016328482670227516,0.2535098757581325,1.233122571768474,14.388199215378199,79.63148166111645,after
const_param,z_correct.swc,RA=100,20,"[1.0, 1.0]",False,11633.0,100.0,1.7974929099158987,0.2116261149938367,True,0.003519213994601019,0.00017360707317119097,0.3085347460825111,1.374807081108067,14.938679328086113,67.46392678968006,after
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",False,12889.0,59.0,1.6223318349795677,0.1013861111530081,True,0.002432024048313078,0.0001302167513525432,0.2946550094630665,1.7356181872351866,14.845825623298179,85.7854567133206,after
const_param,z_correct.swc,RA=200,20,"[1.0, 1.0]",False,8995.0,200.0,2.324650919516581,0.4341308527548779,True,0.015421036418968618,6.367842474137514e-05,0.10266538974738001,1.0,14.999999999999995,89.99999999999996,after
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",False,10245.0,150.0,2.041018547686837,0.3301831069282033,True,0.007321860693264874,0.00015748678831007935,0.22950645443087883,1.0019400097228546,14.979251911408763,89.94526976021156,after
const_param,z_correct.swc,RA=300,20,"[1.0, 1.0]",False,6854.0,300.0,3.0508075607020206,0.6073513684839271,True,0.01999966704675655,5.000000000002532e-06,0.39998959835754155,1.4648362148918894,3.370222167330133,27.232361705075828,after
const_param,z_correct.swc,RA=70,20,"[1.0, 1.0]",False,12541.0,70.0,1.667349894031708,0.1321256613737153,True,0.002759359654255096,0.00013554808412719751,0.20489692782777053,1.7492815912193058,14.995230791700962,81.64646445484867,after
