fit_condition,file_type,parameter_type,spine_start,shrinkage&resize_factors,double_spine_area,RM,RA,CM,error
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",True,6877.0,120.0,3.0247470312139453,0.06049700823343494
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",True,6632.0,150.0,3.1364875352319515,0.07109480973780533
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",True,7186.0,87.0,2.894682067027317,0.05481527100663198
const_param,z_correct.swc,min_CM,20,"[1.0, 1.0]",True,8362.0,1.0,2.4875849478185006,0.15830728619731713
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",True,6215.0,210.0,3.34693247524671,0.10168536967588643
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.0]",True,7165.2,89.1,2.903154603249705,0.054997697227132894
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,6571.0,120.0,3.165604220614564,0.06215564840036482
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",False,6335.0,150.0,3.2835335964732915,0.07272194836706959
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",False,6892.0,85.0,3.0181638615290627,0.05598428218679675
const_param,z_correct.swc,min_CM,20,"[1.0, 1.0]",False,8046.0,1.0,2.5852827906609868,0.15804337809095334
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",False,5986.0,204.0,3.474972491423037,0.11257650138355496
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.0]",False,6876.8,86.6,3.0249848931658625,0.056300392638656035
const_param,z_correct.swc,RA=120,20,"[1.1, 1.1]",False,8030.0,120.0,2.5904340390608094,0.059322907913803576
const_param,z_correct.swc,RA=150,20,"[1.1, 1.1]",False,7757.0,150.0,2.6816018220521207,0.06772865404383287
const_param,z_correct.swc,RA_min_error,20,"[1.1, 1.1]",False,8321.0,92.0,2.4998420062081843,0.05608955993506099
const_param,z_correct.swc,min_CM,20,"[1.1, 1.1]",False,9703.0,1.0,2.1437890687064103,0.15833217774853733
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.1]",False,7156.0,230.0,2.9068174026912104,0.10000244259549282
const_param,z_correct.swc,mean_best_10,20,"[1.1, 1.1]",False,8312.6,92.8,2.502433580896356,0.0562160598660572
const_param,z_correct.swc,RA=120,20,"[1.0, 1.2]",False,8227.0,120.0,2.5284046838043395,0.05622586369155898
const_param,z_correct.swc,RA=150,20,"[1.0, 1.2]",False,7988.0,150.0,2.604054248079407,0.05856285821216923
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.2]",False,8210.0,122.0,2.533640113722083,0.05611085413687927
const_param,z_correct.swc,min_CM,20,"[1.0, 1.2]",False,9599.0,1.0,2.1670158697425044,0.15905050378395497
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.2]",False,7076.0,300.0,2.93968136428184,0.09948650624474824
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.2]",False,8208.9,122.2,2.5340527339774312,0.056271253996346624
const_param,morphology.swc,RA=120,20,"[1.0, 1.0]",False,6992.0,120.0,2.974997902411084,0.07615236715124887
const_param,morphology.swc,RA=150,20,"[1.0, 1.0]",False,6702.0,150.0,3.1037280414291706,0.09362427869711605
const_param,morphology.swc,RA_min_error,20,"[1.0, 1.0]",False,7611.0,68.0,2.733042351025923,0.05281053273540176
const_param,morphology.swc,min_CM,20,"[1.0, 1.0]",False,8766.0,1.0,2.3729392349598792,0.15823002663682778
const_param,morphology.swc,RA_best_fit,20,"[1.0, 1.0]",False,6578.0,164.0,3.162235532632761,0.10079778898637438
const_param,morphology.swc,mean_best_10,20,"[1.0, 1.0]",False,7649.1,65.3,2.719523487256219,0.053113344543931504
const_param,morphology.swc,RA=120,20,"[1.1, 1.1]",False,8560.0,120.0,2.4300450156142874,0.07006994678252706
const_param,morphology.swc,RA=150,20,"[1.1, 1.1]",False,8224.0,150.0,2.5293270104156496,0.08531576983164442
const_param,morphology.swc,RA_min_error,20,"[1.1, 1.1]",False,9176.0,74.0,2.2669120895442787,0.052708810869812134
const_param,morphology.swc,min_CM,20,"[1.1, 1.1]",False,10556.0,1.0,1.9705556397933215,0.15841970844204886
const_param,morphology.swc,RA_best_fit,20,"[1.1, 1.1]",False,7926.0,180.0,2.624424089535491,0.10009500882356895
const_param,morphology.swc,mean_best_10,20,"[1.1, 1.1]",False,9210.2,71.8,2.2585668359040163,0.053055787866882365
const_param,morphology.swc,RA=120,20,"[1.0, 1.2]",False,8813.0,120.0,2.3602842770518895,0.057346138121269416
const_param,morphology.swc,RA=150,20,"[1.0, 1.2]",False,8520.0,150.0,2.441453677659425,0.06744209660869116
const_param,morphology.swc,RA_min_error,20,"[1.0, 1.2]",False,9084.0,95.0,2.2898706884256166,0.052718061138018586
const_param,morphology.swc,min_CM,20,"[1.0, 1.2]",False,10430.0,1.0,1.9943610099384756,0.15897272193710982
const_param,morphology.swc,RA_best_fit,20,"[1.0, 1.2]",False,7828.0,236.0,2.6572796798234926,0.10054189741000451
const_param,morphology.swc,mean_best_10,20,"[1.0, 1.2]",False,9085.8,94.9,2.2894768732942476,0.05301603578632543
