fit_condition,file_type,parameter_type,RM,RA,CM,error
const_param,z_correct.swc,RA=120,6820.0,120.0,3.050027175023211,0.07914775293385387
const_param,z_correct.swc,RA=150,6531.0,150.0,3.184992395292957,0.0961235687358255
const_param,z_correct.swc,RA_min_error,7536.0,61.0,2.7602422151882036,0.05293249576429818
const_param,z_correct.swc,min_CM,8600.0,1.0,2.418742480657942,0.1579969041036357
const_param,z_correct.swc,RA_best_fit,6460.0,158.0,3.2199977296684676,0.10039311616954492
const_param,z_correct.swc,mean_best_10,7514.0,62.6,2.7684363191188064,0.053356022174698814
const_param,morphology.swc,RA=120,6820.0,120.0,3.050027175023211,0.07915242860081288
const_param,morphology.swc,RA=150,6531.0,150.0,3.184992395292957,0.09612814508597786
const_param,morphology.swc,RA_min_error,7479.0,65.0,2.781278958906044,0.052713439361131875
const_param,morphology.swc,min_CM,8600.0,1.0,2.418742480657942,0.1579988625416719
const_param,morphology.swc,RA_best_fit,6460.0,158.0,3.2199977296684676,0.10039765681516319
const_param,morphology.swc,mean_best_10,7513.9,62.6,2.768473501992589,0.053279062776412936
const_param,hoc,RA=120,5986.0,120.0,3.474972491423037,6.177044079967315
const_param,hoc,RA=150,5986.0,150.0,3.474972491423037,8.059883124015949
const_param,hoc,RA_min_error,7057.0,12.0,2.947596051248165,0.04378555940531776
const_param,hoc,min_CM,7799.0,1.0,2.667160576183908,0.14899832750920114
const_param,hoc,RA_best_fit,6532.0,20.0,3.184504796947076,0.10190059795645234
const_param,hoc,mean_best_10,7024.9,12.5,2.9632486648774505,0.055403966236865776
const_param,ASC,RA=120,6906.0,120.0,3.0120453712218795,0.07740696548224443
const_param,ASC,RA=150,6618.0,150.0,3.143122594992188,0.09288145922734668
const_param,ASC,RA_min_error,7533.0,67.0,2.7613414753296563,0.0532831262804097
const_param,ASC,min_CM,8673.0,1.0,2.3983841039615243,0.15814482677479053
const_param,ASC,RA_best_fit,6497.0,164.0,3.201660048277405,0.10094101359351679
const_param,ASC,mean_best_10,7565.4,64.7,2.7496086750093363,0.053468366642386064
different_initial_conditions,z_correct.swc,RA=120,6963.313474378842,121.38747183973031,2.584492180884394,0.1952637679189021
different_initial_conditions,z_correct.swc,RA=150,6699.11726006773,149.70849204451804,2.996780549034896,0.12173631175900711
different_initial_conditions,z_correct.swc,RA_min_error,7324.772114559399,90.84470526047903,2.996355955268034,0.038438994075649935
different_initial_conditions,z_correct.swc,min_CM,8633.99996169911,6.499557828078909,2.164022958226605,0.1074672940757794
different_initial_conditions,z_correct.swc,RA_best_fit,6882.997255906223,130.141635737882,2.8716177362931234,0.12344788290220322
different_initial_conditions,z_correct.swc,mean_best_10,7356.391846200897,88.19126762972611,2.969554560225071,0.03939781881468507
different_initial_conditions,morphology.swc,RA=120,6951.17453175499,123.80508627864782,2.970154753039401,0.08385886680067119
different_initial_conditions,morphology.swc,RA=150,6653.781848822079,154.67399455856992,2.9862457679572842,0.13297443749180252
different_initial_conditions,morphology.swc,RA_min_error,7307.660363118306,92.17754635291317,2.9806153558879394,0.03841216944232465
different_initial_conditions,morphology.swc,min_CM,8604.573385551827,7.949201817264397,2.1801434341023547,0.10468388095970015
different_initial_conditions,morphology.swc,RA_best_fit,6798.933157064151,139.15395617664043,2.9962564269269163,0.1036296007692445
different_initial_conditions,morphology.swc,mean_best_10,7356.08233131187,88.19913484597791,2.9647164525769085,0.03940433243174208
different_initial_conditions,hoc,RA=120,2005.333889131721,101.84602971188983,2.86187074778391,1.1696786856864914
different_initial_conditions,hoc,RA=150,,,,
different_initial_conditions,hoc,RA_min_error,7115.4460388507105,13.332316426993048,2.9936531153404,0.04017621132060133
different_initial_conditions,hoc,min_CM,7284.181863051659,10.406368971214428,2.052956149098209,0.2799680646636115
different_initial_conditions,hoc,RA_best_fit,6720.280614346042,19.14569198540224,2.957887838140515,0.12315201970485418
different_initial_conditions,hoc,mean_best_10,7128.391615250138,13.117340212498272,2.9588658772012755,0.0414543414433233
different_initial_conditions,ASC,RA=120,7124.990198996698,115.71540447593813,2.9976512886899584,0.05173362710588891
different_initial_conditions,ASC,RA=150,6883.041398035179,139.37273898518748,2.9630177599494925,0.10039245324501088
different_initial_conditions,ASC,RA_min_error,7344.7796852809815,96.25515630599467,2.993834172823968,0.03771477157408139
different_initial_conditions,ASC,min_CM,8637.425389267497,9.995404060942871,2.1768084537529644,0.10161801384833308
different_initial_conditions,ASC,RA_best_fit,6883.041398035179,139.37273898518748,2.9630177599494925,0.10039245324501088
different_initial_conditions,ASC,mean_best_10,7353.4092613264675,95.49304491436524,2.981395352541949,0.038307670910271485
