fit_condition,file_type,parameter_type,spine_start,shrinkage&resize_factors,double_spine_area,RM,RA,CM,error
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,14530.0,120.0,1.0080098478093797,0.14176076341122945
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",False,13882.0,150.0,1.0550628935794761,0.16710990333401396
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",False,15493.0,78.0,0.9453548756645122,0.12226903193435952
const_param,z_correct.swc,min_CM,20,"[1.0, 1.0]",False,17458.0,1.0,0.8389496556690507,0.19345531984166686
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",False,15493.0,78.0,0.9453548756645122,0.12226903193435952
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.0]",False,15548.4,75.7,0.9420088214462116,0.12246346251146614
const_param,z_correct.swc,RA=120,20,"[1.1, 1.1]",False,17589.0,120.0,0.8327012956205746,0.13430638753127333
const_param,z_correct.swc,RA=150,20,"[1.1, 1.1]",False,16872.0,150.0,0.8680881394422882,0.1553374430265899
const_param,z_correct.swc,RA_min_error,20,"[1.1, 1.1]",False,18575.0,81.0,0.7884997625125323,0.12251466163380478
const_param,z_correct.swc,min_CM,20,"[1.1, 1.1]",False,20809.0,1.0,0.7038484832846502,0.19359501758813832
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.1]",False,18575.0,81.0,0.7884997625125323,0.12251466163380478
const_param,z_correct.swc,mean_best_10,20,"[1.1, 1.1]",False,18536.0,82.5,0.7901716030284374,0.12254076877842876
const_param,z_correct.swc,RA=120,20,"[1.1, 1.0]",False,15708.0,120.0,0.9324155263986686,0.15119123995963432
const_param,z_correct.swc,RA=150,20,"[1.1, 1.0]",False,14941.0,150.0,0.9802813124068193,0.1810419860548171
const_param,z_correct.swc,RA_min_error,20,"[1.1, 1.0]",False,17054.0,71.0,0.8588239174780279,0.12232161104998203
const_param,z_correct.swc,min_CM,20,"[1.1, 1.0]",False,19215.0,1.0,0.7622369549138843,0.19336738433295625
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.0]",False,17054.0,71.0,0.8588239174780279,0.12232161104998203
const_param,z_correct.swc,mean_best_10,20,"[1.1, 1.0]",False,17120.9,68.7,0.8554924919553386,0.12249359163228937
