cell_name,decay,dot1_tau_m,dot2_tau_m,tau1,dots3_tau1,dots4_tau1
2017_07_06_C_3-4,17090.122737558107,104,384,526.905218217219,4,16
2017_05_08_A_4-5,17411.479516296255,260,530,4234.3280687021215,20,70
2017_07_06_C_4-3,18698.18685989402,230,580,5946.340614498644,30,130
2017_04_03_B,15176.091306114622,225,397,7865.787949103009,40,145
2017_05_08_A_5-4,21722.265370149144,370,670,12193.862883857197,95,180
2017_02_20_B,23032.11729299969,345,615,16001.660447946451,75,215
2016_08_30_A,18663.878851132347,300,530,4862.966711275473,32,100
2016_05_12_A,14858.2641711602,220,380,3256.2207582477827,35,109
2016_04_16_A,13421.706838788214,162,228,1341.8811889646554,1,5
2017_03_04_A_6-7,19496.9888096723,290,508,707.4531484285158,3,14
