cell_name,decay,dot1_tau_m,dot2_tau_m,tau1,dots3_tau1,dots4_tau1
2017_07_06_C_3-4,17090.1227375581,104,384,526.905218217219,4,16
2017_05_08_A_4-5,17411.4795162963,260,530,4234.32806870212,20,70
2017_07_06_C_4-3,18698.186859894,230,580,5946.34061449864,30,130
2017_04_03_B,13849.7392159562,234,529,10084.9713997375,44,171
2017_05_08_A_5-4,21722.2653701491,370,670,12193.8628838572,95,180
2017_02_20_B,23032.1172929997,345,615,16001.6604479465,75,215
2016_08_30_A,18663.8788511323,300,530,4862.96671127547,32,100
2016_05_12_A,14858.2641711602,220,380,3256.22075824778,35,109
2016_04_16_A,15017.3592502633,295,380,27706.1186442295,60,155
2017_03_04_A_6-7,19496.9888096723,290,508,707.453148428516,3,14
